Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	116.910004	116.910004	114.529999	116.459999	111.619957	4991000
2016-01-05	116.720001	117.889999	116.209999	116.68	111.83081100000001	2816800
2016-01-06	115.779999	116.650002	114.5	115.489998	110.690269	2677300
2016-01-07	113.629997	114.089996	111.41999799999999	112.089996	107.43155700000001	5277200
2016-01-08	112.349998	113.0	109.760002	110.160004	105.581779	4422400
2016-01-11	110.510002	110.620003	108.190002	109.58000200000001	105.02588700000001	4499300
2016-01-12	110.360001	113.129997	110.050003	112.260002	107.59451299999999	4037800
2016-01-13	112.410004	113.040001	108.93	109.230003	104.690445	3434300
2016-01-14	108.739998	111.800003	107.510002	110.760002	106.15684499999999	4238200
2016-01-15	109.08000200000001	110.650002	107.790001	109.269997	104.72876	6357000
2016-01-19	111.489998	114.160004	109.599998	112.58000200000001	107.901199	7122800
2016-01-20	112.089996	115.739998	110.150002	114.790001	110.01937099999999	8380700
2016-01-21	114.66999799999999	115.480003	112.260002	113.5	108.782974	5413900
2016-01-22	114.66999799999999	115.150002	113.889999	114.33000200000001	109.578484	3622200
2016-01-25	114.519997	115.309998	112.849998	113.379997	108.667953	2908500
2016-01-26	112.910004	114.18	111.760002	113.959999	109.223854	4592500
2016-01-27	114.43	114.809998	111.839996	112.33000200000001	107.661606	4720300
2016-01-28	112.290001	113.25	110.610001	111.379997	106.75108300000001	3525600
2016-01-29	111.93	115.160004	110.620003	115.160004	110.373985	5280800
2016-02-01	114.83000200000001	116.150002	114.110001	115.889999	111.073647	4333500
2016-02-02	114.949997	115.389999	113.269997	113.879997	109.14717900000001	2997700
2016-02-03	114.370003	114.370003	110.300003	112.75	108.06415600000001	3462300
2016-02-04	112.66999799999999	114.550003	112.040001	114.199997	109.45388	3544800
2016-02-05	114.07	114.209999	110.900002	111.720001	107.076958	3330800
2016-02-08	110.5	111.120003	108.83000200000001	110.019997	105.447594	5050200
2016-02-09	109.370003	112.279999	109.139999	111.160004	106.54023000000001	3450900
2016-02-10	111.33000200000001	114.480003	111.33000200000001	112.739998	108.05455800000001	3023200
2016-02-11	111.32	111.690002	110.089996	110.620003	106.022682	3955000
2016-02-12	111.199997	111.910004	110.209999	111.82	107.17280600000001	2552100
2016-02-16	112.629997	115.269997	112.529999	115.150002	110.36441	3445700
2016-02-17	115.5	118.389999	115.199997	118.300003	113.38349199999999	4466000
2016-02-18	118.5	120.0	117.059998	117.449997	112.568825	3847100
2016-02-19	117.5	118.550003	116.019997	117.68	112.78926799999999	4481400
2016-02-22	119.099998	122.139999	118.959999	121.269997	116.230057	5054800
2016-02-23	120.639999	121.800003	120.269997	121.150002	116.115051	2804400
2016-02-24	119.93	120.32	117.83000200000001	120.199997	115.204536	2559700
2016-02-25	120.199997	121.230003	119.82	121.199997	116.16295600000001	2278000
2016-02-26	121.480003	122.260002	120.889999	121.33000200000001	116.287575	2877500
2016-02-29	121.099998	121.82	118.970001	119.099998	114.15023799999999	4526300
2016-03-01	119.489998	122.220001	119.370003	121.66999799999999	116.613426	3295600
2016-03-02	121.230003	121.839996	120.370003	121.269997	116.230057	2670900
2016-03-03	120.860001	121.860001	120.089996	121.82	116.757195	3059900
